rule_code,ingredient_a_code,ingredient_a_name,ingredient_b_code,ingredient_b_name,pair_key,severity,action_type,is_overridable,title_vi,clinical_effect_vi,mechanism_vi,recommendation_vi,monitoring_guidance_vi,route_scope,applicability_note_vi,evidence_level,source_name,source_reference,source_url,rule_set_version,evidence_checked_at,review_status,clinical_signoff_status,is_active,demo_scenario,sample_product_a_code,sample_product_a_name,sample_product_b_code,sample_product_b_name,notes
DDI-DEMO-001,ING004203,Sildenafil,ING002976,Nitroglycerin,ING002976:ING004203,HIGH,CONTRAINDICATED,False,Chống chỉ định sildenafil với nitroglycerin,"Có thể gây tụt huyết áp nghiêm trọng, choáng hoặc ngất.",Hai thuốc cùng làm tăng tín hiệu nitric oxide–cGMP và cộng hợp tác dụng giãn mạch.,Không sử dụng đồng thời; phải loại bỏ một thuốc và chuyển đánh giá cho bác sĩ/dược sĩ.,Theo dõi huyết áp và triệu chứng tim mạch nếu đã dùng nhầm.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Contraindications; Drug Interactions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=sildenafil,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_HARD_STOP,P006620,Thuốc Daygra 50 Abbott điều trị rối loạn cương dương (4 viên),P003059,"Viên nén Nitromint 2,6mg Egis Pharma điều trị bệnh động mạch vành, đau thắt ngực (3 vỉ x 10 viên) ",Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-002,ING002572,Clarithromycin,ING002848,Simvastatin,ING002572:ING002848,HIGH,CONTRAINDICATED,False,Clarithromycin làm tăng độc tính simvastatin,Tăng nguy cơ bệnh cơ và tiêu cơ vân.,"Clarithromycin ức chế mạnh CYP3A4, làm tăng nồng độ simvastatin.",Không phối hợp; chọn kháng sinh hoặc statin khác theo chỉ định chuyên môn.,"Theo dõi đau cơ, yếu cơ và CK nếu đã phơi nhiễm.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Contraindications; Drug Interactions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clarithromycin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_HARD_STOP,P001681,Thuốc Clabact 500 DHG điều trị nhiễm khuẩn (2 vỉ x 10 viên),P002786,Thuốc Silvasten Davi Pharm hạ lipid máu (4 vỉ x 7 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-003,ING002612,Erythromycin,ING002848,Simvastatin,ING002612:ING002848,HIGH,AVOID_COMBINATION,False,Erythromycin làm tăng độc tính simvastatin,Tăng nguy cơ bệnh cơ và tiêu cơ vân.,"Erythromycin ức chế CYP3A4, làm giảm chuyển hóa simvastatin.",Tránh phối hợp; tạm ngừng simvastatin hoặc chọn thuốc thay thế theo bác sĩ.,Theo dõi triệu chứng cơ và chức năng thận nếu đã dùng chung.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=simvastatin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_HARD_STOP,P001619,Thuốc Erythromycin 500mg Vidipha điều trị nhiễm khuẩn (10 vỉ x 10 viên),P002786,Thuốc Silvasten Davi Pharm hạ lipid máu (4 vỉ x 7 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-004,ING002572,Clarithromycin,ING003605,Colchicine,ING002572:ING003605,HIGH,AVOID_COMBINATION,False,Nguy cơ ngộ độc colchicine nghiêm trọng,"Có thể gây ức chế tủy, độc tính đa cơ quan và tử vong, đặc biệt khi suy gan hoặc suy thận.","Clarithromycin ức chế CYP3A4 và P-gp, làm tăng mạnh phơi nhiễm colchicine.",Tránh phối hợp; chuyển bác sĩ/dược sĩ để thay kháng sinh hoặc điều chỉnh chuyên môn.,"Theo dõi tiêu chảy, nôn, yếu cơ và bất thường huyết học nếu đã dùng chung.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=clarithromycin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_HARD_STOP,P001681,Thuốc Clabact 500 DHG điều trị nhiễm khuẩn (2 vỉ x 10 viên),P004890,Thuốc Colchicine Capel 1mg Mayoly Spindler phòng ngừa và điều trị cơn gút cấp (20 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-005,ING002545,Fluconazole,ING003605,Colchicine,ING002545:ING003605,HIGH,ADJUST_DOSE_OR_MONITOR,True,Fluconazole có thể làm tăng độc tính colchicine,"Tăng nguy cơ độc tính tiêu hóa, cơ và huyết học.","Fluconazole ức chế CYP3A4 ở mức độ vừa, có thể làm giảm chuyển hóa colchicine.","Tránh nếu có thể; nếu bắt buộc phải dùng, cần bác sĩ điều chỉnh liều và theo dõi.",Theo dõi triệu chứng độc tính colchicine và chức năng gan thận.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=colchicine,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P001488,Thuốc Fluconazole Stella 150mg điều trị nhiễm nấm (1 vỉ x 1 viên),P004890,Thuốc Colchicine Capel 1mg Mayoly Spindler phòng ngừa và điều trị cơn gút cấp (20 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-006,ING000419,Potassium Chloride,ING002876,Spironolactone,ING000419:ING002876,HIGH,CONTRAINDICATED,False,Nguy cơ tăng kali máu nặng,"Có thể gây yếu cơ, rối loạn nhịp tim hoặc ngừng tim.",Spironolactone giữ kali; bổ sung potassium chloride làm tăng thêm kali huyết.,Không phối hợp thường quy; chỉ dùng khi có chỉ định và giám sát xét nghiệm chặt chẽ.,"Theo dõi kali huyết, creatinine và điện tâm đồ.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=spironolactone,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_HARD_STOP,P003065,"Thuốc Kaldyum 600mg Egis Pharma phòng ngừa, điều trị giảm kali huyết (50 viên)",P003938,Thuốc Domever 25mg Domesco điều trị suy tim sung huyết (2 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-007,ING002586,Linezolid,ING003011,Sertraline,ING002586:ING003011,HIGH,AVOID_COMBINATION,True,Nguy cơ hội chứng serotonin,"Có thể gây kích động, tăng thân nhiệt, tăng phản xạ, run và rối loạn thần kinh tự chủ.",Linezolid ức chế monoamine oxidase có hồi phục; sertraline tăng dẫn truyền serotonin.,Tránh phối hợp nếu không có chỉ định khẩn cấp; cần bác sĩ đánh giá ngừng hoặc thay thuốc.,Theo dõi sát dấu hiệu hội chứng serotonin trong và sau khi phối hợp.,SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",FDA_SAFETY_COMMUNICATION,FDA Drug Safety Communication,Linezolid and serotonergic psychiatric medications,https://www.fda.gov/drugs/drug-safety-and-availability/fda-drug-safety-communication-updated-information-about-drug-interaction-between-linezolid-zyvox-and,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P001528,Thuốc Forlen Davipharm điều trị nhiễm trùng (2 vỉ x 10 viên),P003219,Thuốc Utralene-50 Umedica điều trị trầm cảm (10 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-008,ING002586,Linezolid,ING003832,Tramadol hydrochloride,ING002586:ING003832,HIGH,AVOID_COMBINATION,True,Linezolid và tramadol làm tăng serotonin,Tăng nguy cơ hội chứng serotonin và co giật.,Linezolid ức chế monoamine oxidase; tramadol có hoạt tính serotonergic.,Tránh phối hợp; chọn thuốc giảm đau hoặc kháng sinh khác theo chỉ định.,"Theo dõi trạng thái tinh thần, thân nhiệt, phản xạ và co giật.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=linezolid,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P001528,Thuốc Forlen Davipharm điều trị nhiễm trùng (2 vỉ x 10 viên),P005504,Thuốc Ramlepsa Krka dùng giảm đau vừa và nặng (3 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-009,ING003832,Tramadol hydrochloride,ING003011,Sertraline,ING003011:ING003832,HIGH,AVOID_COMBINATION,True,Tramadol và sertraline làm tăng nguy cơ serotonin,Có thể gây hội chứng serotonin và tăng nguy cơ co giật.,Cả hai thuốc đều tăng hoạt tính serotonin; tramadol còn làm giảm ngưỡng co giật.,"Tránh nếu có lựa chọn khác; nếu bắt buộc, cần chỉ định và giám sát chuyên môn.","Theo dõi kích động, run, tăng thân nhiệt, tăng phản xạ và co giật.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=tramadol,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_SOFT_STOP,P005504,Thuốc Ramlepsa Krka dùng giảm đau vừa và nặng (3 vỉ x 10 viên),P003219,Thuốc Utralene-50 Umedica điều trị trầm cảm (10 vỉ x 10 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
DDI-DEMO-010,ING002594,Moxifloxacin,ING002855,Amiodarone,ING002594:ING002855,HIGH,AVOID_COMBINATION,False,Nguy cơ kéo dài QT và xoắn đỉnh,Tăng nguy cơ loạn nhịp thất nghiêm trọng.,Cả moxifloxacin và amiodarone đều có thể kéo dài khoảng QT.,Tránh phối hợp; chọn kháng sinh không kéo dài QT nếu phù hợp.,"Kiểm tra ECG, kali và magiê nếu không thể tránh.",SYSTEMIC_ONLY,"Chỉ áp dụng khi thuốc/thành phần được dùng đường toàn thân; không tự động áp dụng cho dạng bôi, nhỏ mắt hoặc dùng tại chỗ có hấp thu toàn thân không đáng kể.",OFFICIAL_LABEL,DailyMed/FDA drug label,Drug Interactions / Warnings and Precautions,https://dailymed.nlm.nih.gov/dailymed/search.cfm?query=moxifloxacin,DDI-DEMO-2026.06,2026-06-24,EVIDENCE_CHECKED_FOR_DEMO,REQUIRES_PHARMACIST_SIGN_OFF,True,HIGH_HARD_STOP,P001633,Thuốc Avelox 400mg Bayer điều trị nhiễm khuẩn (1 vỉ x 5 viên),P002393,Thuốc Cordarone 200mg Sanofi phòng ngừa và điều trị một số dạng rối loạn nhịp tim (30 viên),Dùng cho demo/đào tạo; không thay thế cơ sở dữ liệu tương tác thuốc thương mại hoặc đánh giá của dược sĩ.
